ID,Title,Short Description,Contributors,Mentors,Organization,GSoC Archive Link,Reflection Link,Challenges,Learn,Details,Pull Links,Issue Links,Tech Stack,Topics
6, STEAM Celestial Satellite tracker in real time ,This project represents the orbit of a satellite orbiting earth on an Arduino-controlled pointer and a Liquid Galaxy rig through a mobile..., Krishna Agrawal ," Mentor  Andreuibanez, Otávio Oliveira ", Organization  Liquid Galaxy project ,/archive/2023/projects/f6b4xoXN,https://gist.github.com/savitore/e26c444d907df5e8f6008150e8a6ff1e,No,Yes,"This project represents the orbit of a satellite orbiting earth on an Arduino-controlled pointer and a Liquid Galaxy rig through a mobile application. The application offers a unique way to visualize satellite orbits using the Liquid Galaxy rig (Google Earth) and a real-world Arduino-controlled pointer. It also provides insights into satellites' movements and access to vital satellite information seamlessly within the app.

I plan to develop this by getting all the satellite data from SatNOGS database through API calls. Then, we use SGP-4 model to convert TLE of a satellite to get the state (position and velocity). Then we convert the satellite state to KML format. We segregate the KML data into the various tracks to get a neater visualization of the satellite's orbit data. Then, we write the code to send KML data from our Flutter app to the Liquid Galaxy to visualize this data on the Liquid Galaxy rig.  

Next, we make Arduino controlled pointer which emits green laser in the direction of satellite, which is controlled by the app.  First, we 3D print the STL files of the 3D projector. Then, we assemble all the components of the Arduino-controlled pointer. Then, for the application, we use flutter_bluetooth_serial package to connect and send data to HC-05 module. Then, we use SGP-4 model to get the servo motor angles for the Arduino pointer. Then, we upload code to Arduino to receive data.",[],[],"android, flutter, arduino","visualization, cluster"
7, Add a Print this component to O3 ,"While the Open Medical Record System (OpenMRS)'s major objective is to store and retrieve electronic medical records in the developing world, in some...", Deb ," Mentor  Hadijah Kyampeire, Dennis Kigen ", Organization  OpenMRS ,/archive/2023/projects/y9jgifwW,https://medium.com/@kalungi2k6/the-print-feature-google-summer-of-code-2023-project-final-report-a604c26db327,No,No,"While the Open Medical Record System (OpenMRS)'s major objective is to store and retrieve electronic medical records in the developing world, in some areas this objective has been frustrated due to lack of a stable internet connection, tech-illetracy and rampant power outages in most parts of the developing world. A patient's medical history and treatment may be well documented but due to lack of internet, computers and electricity in the next facility, that patient may not be in position to receive the service due to lack of reference document hence breaking continuity of care among health care providers, its is against this background that the print feature was development. so that at any point in time, a patient and the service provider can have a hard copy of whichever document they want.

how I plan to solve it;

1. have a list of areas where printing is required and add them to the configurations
2. Add the print button in the selected areas
3. write code for the print function using the react-to-print package
4. write tests",[],[],react,web
8, Automate listing of members of technical steering committee ,The goal of this GSOC program is to automate the processes around project governance. This project aims to automate maintaining the Maintainers.yaml..., 14Richa ," Mentor  Lukasz Gornicki, acethecreator, Saurav K ", Organization  Postman ,/archive/2023/projects/YOu23jKE,https://14richa.github.io/2023-08-25/reflection-gsoc,No,Yes,"The goal of this GSOC program is to automate the processes around project governance. This project aims to automate maintaining the Maintainers.yaml file which contains the list of maintainers and TSC members of AsyncAPI. The tasks involve implementing workflows to automatically update the member's list based on changes in other files, inviting new maintainers and TSC members, updating the Emeritus.yaml file when someone is removed, and aggregating helpful information in the Maintainers.yaml file. These automation and improvements will make it easier to manage the maintainers and TSC members of AsyncAPI.","['https://github.com/asyncapi/community/pull/720', 'https://github.com/asyncapi/community/pull/806', 'https://github.com/asyncapi/.github/pull/248']","['https://github.com/asyncapi/.github/issues/210', 'https://github.com/asyncapi/community/issues/810']","javascript, git, rest, graphql, mermaid.js","web, workflows, Github APi, GH Action"
9, ShenYu Gsoc2023 - shenyu-ingress-controller ,shenyu-ingress-controller is an important step for Apache ShenYu to integrate into the cloud native ecosystem. This time gsoc roughly needs to..., Kunshuai Zhu ," Mentor  Yu Xiao, daming ", Organization  Apache Software Foundation ,/archive/2023/projects/RiNlevG8,https://gist.github.com/JooKS-me/387ed3d2edba5bf427282df84125b2a0,No,Yes,"shenyu-ingress-controller is an important step for Apache ShenYu to integrate into the cloud native ecosystem. This time gsoc roughly needs to complete the following steps:

1. Implement the divide plugin to support host;

2. Implement the divide plugin to dynamically configure the tls certificate;

3. Develop a controller to implement the native API specification of ingress;

4. Write unit tests and integration tests;

5. Write deployment and usage documentation.","['https://github.com/apache/shenyu/pull/4620', 'https://github.com/apache/shenyu/pull/4820', 'https://github.com/apache/shenyu/pull/5051', 'https://github.com/apache/shenyu/pull/4742', 'https://github.com/apache/shenyu-website/pull/944']",[],"java, spring, kubernetes, Apache ShenYu","cloud, cloud native, microservice"
10, Debug information handling improvements ,"The proposal outlines a project to improve the debug information handling in Rizin, an open-source reverse engineering framework. The project aims to...", billow ," Mentor  Anton Kochkov, Deroad, ret2libc ", Organization  Rizin ,/archive/2023/projects/JGpphQHN,https://github.com/rizinorg/rizin/pull/3703,No,Yes,"The proposal outlines a project to improve the debug information handling in Rizin, an open-source reverse engineering framework. The project aims to enhance the parsing support for DWARF and PDB formats, enable loading of DWARF information from separate files and debuginfod, and integrate source line and types/variables information with analysis, printing, and breakpoint commands in debug mode. The end goal is to provide a smoother debugging experience for reverse engineers using Rizin.","['/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', 'https://github.com/rizinorg/rizin/pull/3703#issuecomment-1658416011', 'https://github.com/rizinorg/rizin/pull/3565', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', 'https://github.com/rizinorg/rizin/pull/3703#event-10194331724', '/login?return_to=https%3A%2F%2Fgithub.com%2Frizinorg%2Frizin%2Fpull%2F3703', 'https://github.com/rizinorg/rizin/pull/3703']","['https://github.com/rizinorg/rizin/issues/3535', 'https://github.com/rizinorg/rizin/issues/3548', 'https://github.com/rizinorg/rizin/issues/3744', 'https://github.com/rizinorg/rizin/issues/3548', 'https://github.com/rizinorg/rizin/issues/3535', 'https://github.com/rizinorg/rizin/issues/1004', 'https://github.com/rizinorg/rizin/issues/3541', 'https://github.com/rizinorg/rizin/issues/3700', 'https://github.com/rizinorg/rizin/issues/3581', 'https://github.com/rizinorg/rizin/issues/676', 'https://github.com/rizinorg/rizin/issues/3700', 'https://github.com/rizinorg/rizin/issues/3548', 'https://github.com/rizinorg/rizin/issues/3541', 'https://github.com/rizinorg/rizin/issues/3535', 'https://github.com/rizinorg/rizin/issues/1004']","c, python","reverse engineering, debugging, disassembly"
11," Agora Vote Android: A Comprehensive Update with Jetpack Compose, CI/CD, and Result Visualization ",The goal of this proposal is to enhance the Agora Vote Android application by implementing a modern and intuitive user interface using Jetpack..., Narendra Singh Anjana ," Mentor  Bruno, Abhishek Agarwal, hackeramitkumar, Abanda Ludovic ", Organization  AOSSIE ,/archive/2023/projects/Asib4udm,https://github.com/AOSSIE-Org/Agora-Android/tree/gsoc-2023,No,No,"The goal of this proposal is to enhance the Agora Vote Android application by implementing a modern and intuitive user interface using Jetpack Compose and Material Design guidelines, including support for Material You and dynamic color theming. We will also integrate CI/CD pipeline automation and share election results with visualization, improving the overall user experience. The project will take approximately 175 hours to complete, and the expected deliverables include a fully functional and visually appealing Agora Vote Android application with modern design elements, automated release management, and visualized election results.","['https://github.com/AOSSIE-Org/Agora-Android/pull/68', 'https://github.com/AOSSIE-Org/Agora-Android/pull/16', 'https://github.com/AOSSIE-Org/Agora-Android/pull/62', 'https://github.com/AOSSIE-Org/Agora-Android/pull/66', 'https://github.com/AOSSIE-Org/Agora-Android/pull/68', 'https://github.com/AOSSIE-Org/Agora-Android/pull/16', 'https://github.com/AOSSIE-Org/Agora-Android/pull/68', 'https://github.com/AOSSIE-Org/Agora-Android/pull/62']",[],"kotlin, ci/cd, Android Development, RESTful APIs, Jetpack Compose","data visualization, user interface, android, Mobile App development, Voting System"
12, Integrating Apple Music with ListenBrainz ,"By linking their Apple Music account with ListenBrainz, individuals are able to use ListenBrainz to play their music selections. The integration into...", vscode , Mentor  Shatabarto , Organization  MetaBrainz Foundation Inc ,/archive/2023/projects/oUbUrDhV,https://blog.metabrainz.org/2023/08/28/integration-of-apple-music-with-listenbrainz/,No,No,"By linking their Apple Music account with ListenBrainz, individuals are able to use ListenBrainz to play their music selections. The integration into BrainzPlayer allows for this capability. By utilizing a content resolver, we can match the MusicBrainz Identifier (MBID) to the Apple Music catalog, permitting users to transfer playlists to their Apple Music account.",[],[],"python, flask, sql, rest, api, Javascript,","web, software engineering, music"
13, Migrate mv2 samples to mv3 and increase API coverage ,"Manifest V3 is the latest version of Chrome extensions, which focuses on security, privacy, and performance. The goal of this project is to upgrade...", Xuezhou Dai ," Mentor  Pallavi, Oliver Dunk, Ali Spivak ", Organization  Chromium ,/archive/2023/projects/JUcx6aBB,https://docs.google.com/document/d/1mppRm9Av3pACXb3u_P8CT55glObxcMf7foleJyZXzT4,No,Yes,"Manifest V3 is the latest version of Chrome extensions, which focuses on security, privacy, and performance. The goal of this project is to upgrade Chrome extension samples to work with Manifest V3 and increase API coverage, which includes providing minimal API samples and providing samples that use multiple APIs with practical purposes. You could refer to the proposal for specific schedule.",[],[],javascript,"documentation, Extension, ManifestV3, API Samples"
14, Admin: Improved People and Newsfeed Management ,"In the Talawa Admin Newsfeed functionality ( for eg: CRUD operations ) are not implemented yet for the Talawa API, Talawa Admin. Along with it the...", Aashima Wadhwa ," Mentor  Dominic Mills, Tyrone Taylor, CyberWake, Tonythegr8 ", Organization  The Palisadoes Foundation ,/archive/2023/projects/a4jcWmYH,https://gist.github.com/aashimawadhwa/a0659228c380ff567f56299624a2804e,No,Yes,"In the Talawa Admin Newsfeed functionality ( for eg: CRUD operations ) are not implemented yet for the Talawa API, Talawa Admin. Along with it the images and videos are not rendering , the modal for creating posts is not functioning well and there are issues in posts rendering in the Talawa Admin application. In this proposal I propose to fix these shortcomings and implement and integrate the admin and API altogether.","['https://github.com/PalisadoesFoundation/talawa-admin/pulls/aashimawadhwa', 'https://github.com/PalisadoesFoundation/talawa-api/pulls?q=is%3Apr+author%3Aaashimawadhwa']",[],"web development, css, typescript, reactjs, web desiging",web
15, Grotrian Diagram Visualisation ,"TARDIS generates synthetic observations of stellar explosions that can be compared to real observations. With such comparisons, we can learn more...", Ayushi Daksh ," Mentor  afloers, Sona Chitchyan, Jaladh Singhal, Mark Magee, Aoife, James Gillanders, Harshul Gupta, Yuki Matsumura, Eva Laplace, Jing Lu ", Organization  TARDIS RT Collaboration ,/archive/2023/projects/HxymUMRe,https://docs.google.com/document/d/1zDZcunshy0eAD7W11okAVryDAjYNBQPggi_OiRVZ2_8/edit?usp=sharing,No,Yes,"TARDIS generates synthetic observations of stellar explosions that can be compared to real observations. With such comparisons, we can learn more about the physical processes occurring and the conditions inside the supernova, including which elements and atomic transitions are dominant. TARDIS tracks the atomic transitions of interacting photons, level populations, etc. allowing the user to interrogate the physical conditions of the supernova. The goal of this project is to build a visual tool to represent this information for the user in Grotrian diagrams, which show different atomic levels of ions and transitions between them. Developing this tool will allow the user to more easily understand the important physical conditions of their supernova model.

A regular Grotrian diagram would only display the overall line interaction for the packets that interact with the ion, but we also want to display how many packets went through each specific transition and the level populations. One way it could be done is to color each arrow to represent quantity of packets (similar to a heatmap) and the thickness of the level platforms denoting the level populations. This project will have the following deliverables:

- Develop an interactive widget which allows the user to look at the Grotrian diagram for specific ions which interacted with photon packets during a TARDIS simulation.

- The widget should allow the user to filter on a wavelength range, type of line interaction (excitation or de-excitation), and ion. The diagram will also give a sense of the frequency of each line transition using colors.

- Develop the above plot as a static Matplotlib too.

- Integrate this widget into TARDIS codebase and documentation.

- Create a Jupyter notebook tutorial for the tool.",[],[],"python, numpy, jupyter, pandas, Matplotlib, Plotly","visualization, simulation, astrophysics"
16, Proposal for selecting tests to run on gerrit patches based on machine learning ,LibreOffice is a large and complex office software and has an extensive CI system to ensure that new patches do not introduce bugs. A lot of unit..., Baole Fang ," Mentor  Thorsten, stragu, cloph ", Organization  LibreOffice ,/archive/2023/projects/TRuGywNg,https://github.com/baolef/libreoffice-ci,No,Yes,"LibreOffice is a large and complex office software and has an extensive CI system to ensure that new patches do not introduce bugs. A lot of unit tests are run in Jenkins when contributers submit their patches to gerrit. It usually takes hours to run all the tests across different platforms, especially in rush hours. Therefore, a better test selection method is needed to reduce the load in testing while maintaining a high software quality.

Recently, machine learning is used to predict whether a patch can pass a given test. This can greatly reduce the testing load because we can skip the tests that is very likely to pass when a patch is submitted. Although feature engineering isn't trivial, transformers have been proved useful in feature extraction under similar problem settings. Therefore, I propose that we can implement a machine learning based test selection method to select tests to run in the CI chain to reduce testing load.",['https://github.com/baolef/libreoffice-ci/pull/31'],[],"python, c++","machine learning, Unit test"
17, Decentralized vulnerability data peer-review ,"Software packages vulnerabilities : let's say we have a security team that wants to track new vulnerabilities in the open source software packages ,...", ziad hany ," Mentor  Philippe Ombredanne, Keshav Priyadarshi, TG1999 ", Organization  AboutCode ,/archive/2023/projects/KJcxgoj5,https://medium.com/@ziadhany2016/gsoc-2023-work-report-gsoc-again-431cf5b9436a,No,No,"Software packages vulnerabilities :
let's say we have a security team that wants to track new vulnerabilities in the open source software packages , the security team subscribe to the account of each package by package-url

then security teams review the new vulnerability information and validate the package vulnerable version range of x database by posting reviews and comments . Every project could get its own ActivityPub account .The security teams could get their own using any ActivityPub server .",[],[],"python, postgresql, django, git, jquery",web
18, Monitoring for pgmoneta ,"In this project, we will expand metrics to help users observe the running status of pgmoneta and each server at any time. Additionally, a large...", Zhengshun Lin , Mentor  Jesper Pedersen , Organization  PostgreSQL ,/archive/2023/projects/eSPk3WGm,https://github.com/pgmoneta/pgmoneta/issues/133,No,No,"In this project, we will expand metrics to help users observe the running status of
pgmoneta and each server at any time. Additionally, a large amount of numerical data
is not convenient for users to intuitively see patterns between data. We will design
Grafana dashboard to visualize the collected Prometheus metrics.",['https://github.com/pgmoneta/pgmoneta/pull/126'],"['/login?return_to=https%3A%2F%2Fgithub.com%2Fpgmoneta%2Fpgmoneta%2Fissues%2F133', '/login?return_to=https%3A%2F%2Fgithub.com%2Fpgmoneta%2Fpgmoneta%2Fissues%2F133', '/login?return_to=https://github.com/pgmoneta/pgmoneta/issues/133', '/login?return_to=https://github.com/pgmoneta/pgmoneta/issues/133', 'https://github.com/pgmoneta/pgmoneta/issues?q=state%3Aopen%20label%3A%22feature%22', 'https://github.com/pgmoneta/pgmoneta/issues/133#issue-1798231979', 'https://github.com/pgmoneta/pgmoneta/issues/133#event-9783267363', 'https://github.com/pgmoneta/pgmoneta/issues/133#issuecomment-1630246730', 'https://github.com/pgmoneta/pgmoneta/issues/133#event-9783318554', 'https://github.com/pgmoneta/pgmoneta/issues/133', 'https://github.com/pgmoneta/pgmoneta/issues/133#event-1299564691', 'https://github.com/pgmoneta/pgmoneta/issues/133#event-9786794462', 'https://github.com/pgmoneta/pgmoneta/issues/133#issuecomment-1630773387', 'https://github.com/pgmoneta/pgmoneta/issues/133#issuecomment-1634225810', 'https://github.com/pgmoneta/pgmoneta/issues/133#event-9851069751', 'https://github.com/pgmoneta/pgmoneta/issues/133', 'https://github.com/pgmoneta/pgmoneta/issues/133', 'https://github.com/pgmoneta/pgmoneta/issues/133', 'https://github.com/pgmoneta/pgmoneta/issues/133', 'https://github.com/pgmoneta/pgmoneta/issues/133', 'https://github.com/pgmoneta/pgmoneta/issues/133#event-9965831128', 'https://github.com/pgmoneta/pgmoneta/issues/133', 'https://github.com/pgmoneta/pgmoneta/issues/133#event-10136158747', 'https://github.com/pgmoneta/pgmoneta/issues/133', 'https://github.com/pgmoneta/pgmoneta/issues/133#issuecomment-1739416725', 'https://github.com/pgmoneta/pgmoneta/issues/133#event-10500565911', '/signup?return_to=https://github.com/pgmoneta/pgmoneta/issues/133', '/login?return_to=https://github.com/pgmoneta/pgmoneta/issues/133', 'https://github.com/pgmoneta/pgmoneta/issues?q=state%3Aopen%20label%3A%22feature%22']","c, postgresql",database
19, Modernization of the conda-forge.org website ,The project aims to modernize the conda-forge website by redesigning the landing page and creating a style guide for other conda-forge’s web-based..., Asmit Malakannawar , Mentor  jaimergp , Organization  NumFOCUS ,/archive/2023/projects/5mhdEKMI,https://dev.to/asmitbm/google-summer-of-code-2023-with-conda-forge-12c4,Yes,Yes,"The project aims to modernize the conda-forge website by redesigning the landing
page and creating a style guide for other conda-forge’s web-based projects. The new
implementation is expected to provide an intuitive and usable user experience. The
redesigned landing page is expected to pass the SpeedPage and WAVE automated
tests. The project also aims to work towards WCAG 2 conformance during the design
phase and include accessibility annotations for the development phase. The expected
outcome is a prototype conda-forge.org frontpage redesign that is live in cf-infra-docs and a conda-forge style guide for its new online presence. This project will benefit the conda-forge community by providing a more user-friendly and accessible website.",[],[],"javascript, react","web, graphics, ui/ux"
20, Accessibility Improvement for Uyuni ,"The goal of this project is to analyze, track, document and solve accessibility issues in Uyuni, thereby increasing the accessibility support of...", Odetayo Rachael ," Mentor  Marina Latini, cbbayburt ", Organization  openSUSE Project ,/archive/2023/projects/J3FwSdEr,https://rakielle.hashnode.dev/gsoc-2023-final-report,No,No,"The goal of this project is to analyze, track, document and solve accessibility issues in Uyuni, thereby increasing the accessibility support of Uyuni. This solution involves implementing keyboard navigation and assistive technology support, enhancing the visual interface to make it more inclusive, and conducting thorough testing to ensure the tool is accessible to all users, regardless of their abilities.",[],[],"javascript, java, xml, Accessibility","web, ui/ux, design, Accessibilty"
21, Automatically Compute Moments of Inertia for SDFormat Links ,"Physically plausible inertial parameters like the mass, center of mass, moments of inertia etc. are required for an accurate simulation. Since...", Jasmeet Singh ," Mentor  Addisu Taddese, Dharini Dutia ", Organization  Open Robotics ,/archive/2023/projects/KCQn6Rm8,https://github.com/jasmeet0915/GSoC23-OpenRobotics,No,Yes,"Physically plausible inertial parameters like the mass, center of mass, moments of inertia etc.
are required for an accurate simulation. Since parameters like moments of inertia are difficult
to visualize, a user may tend to enter wrong values leading to incorrect simulation. 

Therefore, having the calculation of moments of inertia integrated into Gazebo itself would make the workflow much more smooth. 

The plan is to use existing mesh processing libraries to automatically calculate moments of inertia from link collision meshes and introduce an attribute to SDFormat for the  tag that enables the feature.","['https://github.com/gazebosim/sdformat/pull/1299', 'https://github.com/gazebosim/sdformat/pull/1304', 'https://github.com/gazebosim/gz-sim/pull/2061', 'https://github.com/gazebosim/sdformat/pull/1298', 'https://github.com/gazebosim/sdf_tutorials/pull/92', 'https://github.com/gazebosim/gz-sim/pull/2119', 'https://github.com/gazebosim/gz-math/pull/538', 'https://github.com/gazebosim/sdformat/pull/1292']",[],"c, gazebo, c++, Simulation","robotics, simulation, physics"
22, Implementing an out-of-band identity verification system for Kanidm ,"As of now, Kanidm doesn't provide a way to allow two users to mutually authenticate each other. I would like to design and implement such feature,...", Sebastiano Tocci , Mentor  William Brown , Organization  openSUSE Project ,/archive/2023/projects/fifdSblc,https://gist.github.com/Seba-T/8852d396e5d0e589512a844dcda13db0,No,Yes,"As of now, Kanidm doesn't provide a way to allow two users to mutually authenticate each other. 
I would like to design and implement such feature, building upon and further polishing the design already discussed between the maintainers and me (see pull request #1416). 
The idea is to use ECDH to compute a unique TOTP for each user, make the users exchange said TOTPs with an out of band channel and then verify if they are correct, with no online communication required between the involved kanidm servers. To begin with I'll have to implement a feature that allows kanidm to store ECDH keys for its users,  as they are required for the Identity verification system to authenticate subjects. Afterwards I will work on the core server-side logic of the system, and finally, if time will allow it, I am going to implement a frontend interface in the kanidm client for the identity verification system. I also plan on writing a journal of my experience with this project.","['https://github.com/kanidm/kanidm/pull/1819', 'https://github.com/kanidm/kanidm/pull/2001', 'https://github.com/kanidm/kanidm/pull/1682', 'https://github.com/kanidm/kanidm/pull/1732', 'https://github.com/kanidm/kanidm/pull/1735', 'https://github.com/kanidm/kanidm/pull/1727', 'https://github.com/kanidm/kanidm/pull/1876', 'https://github.com/kanidm/kanidm/pull/1882', 'https://github.com/kanidm/kanidm/pull/1928', 'https://github.com/kanidm/kanidm/pull/1930', 'https://github.com/kanidm/kanidm/pull/1932', 'https://github.com/kanidm/kanidm/pull/1953', 'https://github.com/kanidm/kanidm/pull/1965']","['https://github.com/kanidm/kanidm/issues/337', 'https://github.com/kanidm/kanidm/issues/337', 'https://github.com/kanidm/kanidm/issues/1676', 'https://github.com/kanidm/kanidm/issues/345', 'https://github.com/kanidm/kanidm/issues/1875', 'https://github.com/kanidm/kanidm/issues/1823', 'https://github.com/kanidm/kanidm/issues/1827', 'https://github.com/kanidm/kanidm/issues/1929', 'https://github.com/kanidm/kanidm/issues/1934', 'https://github.com/kanidm/kanidm/issues/1939']","rust, sqllite","Public key cryptography, Access Control, IDM, out-of-band authentication, ECDH"
23, MCnet/LHAPDF - Test Suite and Coverage for Parton Density Calculations ,The LHAPDF C++ library plays a crucial role in the Large Hadron Collider (LHC) programme by providing it with Parton Distribution Function (PDF) data..., Arjun  Taneja , Mentor  agbuckley , Organization  CERN-HSF ,/archive/2023/projects/v2AxsuIT,https://gitlab.com/hepcedar/lhapdf/-/merge_requests?scope=all&state=all&author_username=ArjunBoi,No,No,"The LHAPDF C++ library plays a crucial role in the Large Hadron Collider (LHC) programme by providing it with Parton Distribution Function (PDF) data for both experimental and theoretical calculations. The library's reliability and stability are essential to ensure that the information supplied to the LHC programme is accurate.

To ensure that all aspects of the LHAPDF calculations are thoroughly tested, this project aims to implement continuous integration (CI) tests, in GitLab and Cron. These tests will be scalable and will run on a schedule to guarantee the stability of LHAPDF-established behaviours to a high degree of precision. Data from these tests will then be fed into a dashboard on the LHAPDF website, which will work to provide the developers with a bird’s-eye view of the library’s status and performance. This testing and visualisation is aimed at providing the necessary confidence when making new releases and analysing current metrics.",[],[],"python, c++, git, fortran, unix, ci/cd, YAML","particle physics, Continuous Integration (CI), Continuous Deployment (CD)"
24, Efficient app-based measurement of visual functions in infants and young children ,The measurement of visual function in infants and young children is crucial for early detection and treatment of eye conditions that can lead to..., Soham Mulye ," Mentor  Suresh, Arvind Chandna, Yohaï-Eliel BERREBY, Floris van Vugt ", Organization  INCF ,/archive/2023/projects/NNz2NNsS,https://github.com/Shazam213/automated-preferential-looking#apl-automated-preferential-looking,No,Yes,"The measurement of visual function in infants and young children is crucial for early detection and treatment of eye conditions that can lead to visual deprivation and affect visual development. However, the limited cooperation and inability to provide verbal responses in infants make the accurate and efficient measurement of visual function challenging. This project aims to develop a ready-to-deploy application suite that will address these limitations by integrating hardware devices or deep learning-based infant eye trackers, and visual stimuli analysis into a user-friendly graphical user interface (GUI).","['https://github.com/Shazam213/automated-preferential-looking/pull/1', 'https://github.com/Shazam213/automated-preferential-looking/pull/1', 'https://github.com/Shazam213/automated-preferential-looking/pull/1', 'https://github.com/Shazam213/automated-preferential-looking/pull/1', 'https://github.com/Shazam213/automated-preferential-looking/pull/1']",[],"python, opencv, psychopy","machine learning, computer vision, image processing, health ai, Infant vision"
25, Improve Security Auditing in Uyuni by Incorporating OVAL Data ,"In today's world, security is a major concern for any organization. With the increasing number of vulnerabilities and attacks, it is important to...", Houssem Nasri ," Mentor  Abid Mehmood, Pascal Arlt ", Organization  openSUSE Project ,/archive/2023/projects/laqWGv1Q,https://gist.github.com/HoussemNasri/023088c1831b534e5acca5195e35d5f3,No,Yes,"In today's world, security is a major concern for any organization. With the increasing number of vulnerabilities and attacks, it is important to have a reliable security auditing tool in place. Uyuni is a popular open-source infrastructure management solution. While security auditing was always supported in Uyuni, it had its limitations. By incorporating OVAL data, Uyuni could enhance its security auditing capabilities and provide a more comprehensive solution.


Currently, Uyuni uses channel data for CVE audits, which provide limited information about potential vulnerabilities. Integrating OVAL data into Uyuni's auditing process will enable it to perform a more comprehensive assessment of the system's security.","['https://github.com/uyuni-project/uyuni/pull/7466', 'https://github.com/uyuni-project/uyuni/pull/7509', 'https://github.com/uyuni-project/uyuni/pull/7510', 'https://github.com/uyuni-project/uyuni/pull/7570', 'https://github.com/uyuni-project/uyuni-docs/pull/2471', 'https://github.com/uyuni-project/uyuni/pull/7556', 'https://github.com/uyuni-project/uyuni/pull/7102', 'https://github.com/uyuni-project/uyuni/pull/7163']",[],"python, postgresql, java, react, xml","security, linux, OVAL"
26, Convert Writer's Java UNO API Tests to C++ ,The objective of this project is to convert Writer’s Java UNO API tests to C++. Unit testing is a software testing method by which individual units..., Dipam Turkar ," Mentor  Tomaž Vajngerl, Xisco ", Organization  LibreOffice ,/archive/2023/projects/co1Noz8V,https://gerrit.libreoffice.org/q/anfanite396+tests+-status:abandoned,No,No,"The objective of this project is to convert Writer’s Java UNO API tests to C++. Unit testing is a software testing method by which individual units of source code are tested to determine whether they are fit for use. However, the unit tests for Writer’s UNO API tests are still implemented in Java, making it hard to debug them. LibreOffice has a long term plan to move them to C++. I intend to complete this task as my project for GSoC 2023.",[],[],"java, c++, CppUnit","software development, unit testing, uno api"
27, Learning from Imbalanced Data with Julia ,The objective of this project is to implement a class imbalance package in Julia with algorithms to correct for class imbalance. The package is..., Essam Wisam , Mentor  Anthony Blaom , Organization  The Julia Language ,/archive/2023/projects/izAL3OYY,https://forem.julialang.org/essamwisam/class-imbalance-in-julia-3jek,Yes,Yes,The objective of this project is to implement a class imbalance package in Julia with algorithms to correct for class imbalance. The package is expected to integrate well with other packages such as MLJ and to provide any useful resampling algorithms to handle the imbalance issue.,[],[],julia,"machine learning, python, Class Imbalance"
